Sample	Group
DRR515042	2001
DRR515043	2001
DRR515044	2001
ERR10508033	2002
ERR10508034	2002
ERR10508035	2002
ERR10508036	2002
ERR10508037	2003
ERR10508038	2003
ERR10508039	2003
ERR10508040	2003
ERR10508041	2004
ERR10508042	2004
ERR10508043	2004
ERR10508044	2004
ERR926166	2005
ERR926167	2005
ERR926168	2005
ERR926169	2005
ERR926170	2005
ERR926171	2005
ERR926172	2005
ERR926173	2005
ERR926174	2005
ERR926175	2005
ERR926176	2005
ERR926177	2005
ERR926178	2005
ERR926179	2005
ERR926180	2005
ERR926181	2005
ERR926182	2005
ERR926183	2005
ERR926184	2005
ERR926185	2005
ERR926186	2005
ERR926187	2005
ERR926188	2005
ERR926189	2005
ERR926190	2005
ERR926191	2005
ERR926192	2005
ERR971383	2005
ERR971384	2005
ERR971385	2005
ERR971386	2005
ERR971387	2005
ERR971388	2005
ERR1022493	182
ERR1022494	1002
ERR1022495	1002
ERR1022496	182
ERR12638548	2007
ERR12638549	2007
ERR12638550	2007
ERR12638551	2008
ERR12638552	2008
ERR12638553	2008
ERR12638554	2009
ERR12638555	2009
ERR12638556	2009
ERR1140762	2010
ERR1140763	2010
ERR1140764	2010
ERR1140765	2010
ERR1140766	2010
ERR1140767	2010
ERR1140768	2010
ERR1140769	2010
ERR1140770	2010
ERR1140771	2010
ERR1140772	2010
ERR1140773	2010
ERR1140774	2010
ERR1140775	2010
ERR1140776	2010
ERR1140777	2010
ERR1140778	2010
ERR1140779	2010
ERR1140780	2010
ERR1140781	2010
ERR1140782	2010
ERR1140783	2010
ERR1140784	2010
ERR1140785	2010
ERR1140786	2010
ERR1140787	2010
ERR1140788	2010
ERR1140789	2010
ERR1140790	2010
ERR1140791	2010
ERR1140792	2010
ERR1140793	2010
ERR1140794	2010
ERR1140795	2010
ERR1140796	2010
ERR1140797	2010
ERR1140798	2010
ERR1140799	2010
ERR1332451	184
ERR1332452	184
ERR1332453	183
ERR1332454	183
ERR1706682	1005
ERR1706683	1006
ERR1706685	1006
ERR1706686	1006
ERR1706687	1007
ERR1706689	1009
ERR1706690	1010
ERR1706691	1011
ERR1749111	1015
ERR1749123	1017
ERR1749133	188
ERR219199	2012
ERR219204	2013
ERR219196	2015
ERR219203	2016
ERR219194	2014
ERR219205	2012
ERR219198	2013
ERR219201	2014
ERR219195	2017
ERR1880934	1040
ERR1880935	1041
ERR1880936	1041
ERR1880937	1041
ERR1880938	1042
ERR1880939	1042
ERR1880940	1042
ERR1880941	1040
ERR1880942	1040
ERR1880943	1043
ERR1880944	1043
ERR1880945	1043
ERR1880946	1044
ERR1880948	1044
ERR2103718	1046
ERR2103719	1047
ERR2103720	1048
ERR2103721	1049
ERR2103722	1050
ERR2103723	1051
ERR2299749	2018
ERR2299750	2018
ERR2299751	2018
ERR2299752	2018
ERR2299753	2018
ERR2299754	2018
ERR2299755	6001
ERR2299756	6001
ERR2299757	6001
ERR2299758	6001
ERR2299759	6001
ERR2299760	6001
ERR262980	187
ERR262978	186
ERR262989	186
ERR262981	186
ERR262986	185
ERR262982	187
ERR262985	185
ERR262979	185
ERR262983	187
ERR274478	6003
ERR274479	6004
ERR2882379	2019
ERR2882380	2019
ERR2882381	2019
ERR2882382	2020
ERR2882383	2020
ERR2882384	2020
ERR2882433	2031
ERR2882434	2031
ERR2882435	2031
ERR2882436	2032
ERR2882437	2032
ERR2882438	2032
ERR3039920	2033
ERR3039921	2033
ERR3039922	2033
ERR3039924	2033
ERR3039925	2033
ERR3039926	2033
ERR3039927	2033
ERR3039928	2033
ERR3039929	2033
ERR3039931	2033
ERR3039932	2033
ERR3039933	2033
ERR3039934	2033
ERR3039935	2033
ERR3039936	2033
ERR3039937	2033
ERR3039938	2033
ERR3039939	2033
ERR3039940	2033
ERR3039941	2033
ERR3336945	2034
ERR3366366	190
ERR3366367	190
ERR3407098	2036
ERR3407099	2036
ERR3407100	2036
ERR3407101	2037
ERR3407102	2037
ERR3407103	2037
ERR3407104	2038
ERR3407105	2038
ERR3407106	2038
ERR3407107	2039
ERR3407108	2039
ERR3407109	2039
ERR3407110	2040
ERR3407111	2040
ERR3407112	2040
ERR3407113	2041
ERR3407114	2041
ERR3407115	2041
ERR3770569	191
ERR3770570	191
ERR3770571	191
ERR3770572	192
ERR3770573	192
ERR3770574	192
ERR3971466	2042
ERR3971467	2042
ERR3971468	2042
ERR3971475	2043
ERR3971476	2043
ERR3971477	2043
ERR459287	2044
ERR459294	2044
ERR4342072	2045
ERR4342073	2045
ERR4342074	2045
ERR4342075	2046
ERR4342076	2046
ERR4342077	2046
ERR560438	2047
ERR560439	2047
ERR560440	2047
ERR560441	2047
ERR560442	2047
ERR560443	2047
ERR560444	2047
ERR560445	2047
ERR560446	2047
ERR560447	2047
ERR560448	2047
ERR560449	2047
ERR560450	2047
ERR560451	2047
ERR6209574	2048
ERR6209575	2048
ERR738423	2051
ERR9735864	2052
ERR9735865	2052
ERR9735866	2053
ERR9735867	2053
ERR9735868	2054
ERR9735869	2054
ERR9735870	2055
ERR9735871	2055
ERR9735872	2056
ERR9735873	2056
ERR9735874	2056
ERR9735875	2057
ERR9735876	2057
ERR9735877	2057
ERR9735878	2058
ERR9735879	2058
ERR9735880	2059
ERR9735881	2059
ERR9735882	2060
ERR9735883	2060
ERR9735884	2060
ERR9735885	2061
ERR9735886	2061
ERR9735887	2061
ERR9735888	2062
ERR9735889	2062
ERR9735890	2062
ERR9794601	2063
ERR9794602	2063
ERR9794603	2063
ERR9794604	2064
ERR9794605	2064
ERR9794606	2064
ERR9794607	2065
ERR9794608	2065
ERR9794609	2065
ERR9794610	2066
