# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1	1524	+					dnaA	885041	Rv0001	1524		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	1	1524	+	NP_214515.1	WP_003400253.1		chromosomal replication initiator protein DnaA	dnaA	885041	Rv0001	1524	507	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	2052	3260	+					dnaN	887092	Rv0002	1209		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	2052	3260	+	NP_214516.1	WP_003400271.1		DNA polymerase III subunit beta	dnaN	887092	Rv0002	1209	402	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	3280	4437	+					recF	887089	Rv0003	1158		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	3280	4437	+	NP_214517.1	WP_003912365.1		DNA replication/repair protein RecF	recF	887089	Rv0003	1158	385	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	4434	4997	+						887088	Rv0004	564		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	4434	4997	+	NP_214518.1	WP_003899769.1		hypothetical protein		887088	Rv0004	564	187	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	5240	7267	+					gyrB	887081	Rv0005	2028		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	5240	7267	+	NP_214519.2	WP_003917863.1		DNA gyrase subunit B	gyrB	887081	Rv0005	2028	675	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	7302	9818	+					gyrA	887105	Rv0006	2517		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	7302	9818	+	NP_214520.1	WP_003917265.1		DNA gyrase subunit A	gyrA	887105	Rv0006	2517	838	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	9914	10828	+						885982	Rv0007	915		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	9914	10828	+	NP_214521.1	WP_003400291.1		membrane protein		885982	Rv0007	915	304	
gene	tRNA	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	10887	10960	+					ileT	2700464	Rvnt01	74		
tRNA		GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	10887	10960	+				tRNA-Ile	ileT	2700464	Rvnt01	74		anticodon=GAT
gene	tRNA	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	11112	11184	+					alaT	2700469	Rvnt02	73		
tRNA		GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	11112	11184	+				tRNA-Ala	alaT	2700469	Rvnt02	73		anticodon=TGC
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	11874	12311	-						887085	Rv0008c	438		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	11874	12311	-	NP_214522.1	WP_003917266.1		cell wall synthesis protein CwsA		887085	Rv0008c	438	145	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	12468	13016	+					ppiA	887087	Rv0009	549		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	12468	13016	+	NP_214523.1	WP_003400321.1		iron-regulated peptidyl-prolyl cis-trans isomerase PpiA	ppiA	887087	Rv0009	549	182	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	13133	13558	-						887082	Rv0010c	426		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	13133	13558	-	NP_214524.1	WP_003899772.1		membrane protein		887082	Rv0010c	426	141	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	13714	13995	-						887074	Rv0011c	282		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	13714	13995	-	NP_214525.1	WP_003400344.1		cell division protein CrgA		887074	Rv0011c	282	93	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	14089	14877	+						887083	Rv0012	789		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	14089	14877	+	NP_214526.1	WP_010886061.1		membrane protein		887083	Rv0012	789	262	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	14914	15612	+					trpG	885955	Rv0013	699		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	14914	15612	+	YP_177615.1	WP_003899773.1		anthranilate synthase component II	trpG	885955	Rv0013	699	232	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	15590	17470	-					pknB	887072	Rv0014c	1881		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	15590	17470	-	NP_214528.1	WP_003400356.1		serine/threonine-protein kinase PknB	pknB	887072	Rv0014c	1881	626	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	17467	18762	-					pknA	885953	Rv0015c	1296		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	17467	18762	-	NP_214529.1	WP_003400358.1		serine/threonine-protein kinase PknA	pknA	885953	Rv0015c	1296	431	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	18759	20234	-					pbpA	887078	Rv0016c	1476		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	18759	20234	-	NP_214530.1	WP_003899775.1		penicillin-binding protein PbpA	pbpA	887078	Rv0016c	1476	491	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	20231	21640	-					rodA	887075	Rv0017c	1410		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	20231	21640	-	NP_214531.1	WP_003400364.1		cell division protein RodA	rodA	887075	Rv0017c	1410	469	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	21637	23181	-					pstP	887070	Rv0018c	1545		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	21637	23181	-	NP_214532.1	WP_010886062.1		phosphoserine/threonine phosphatase PstP	pstP	887070	Rv0018c	1545	514	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	23270	23737	-					fhaB	887079	Rv0019c	468		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	23270	23737	-	NP_214533.1	WP_003400373.1		FHA domain-containing protein FhaB	fhaB	887079	Rv0019c	468	155	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	23861	25444	-					fhaA	887067	Rv0020c	1584		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	23861	25444	-	NP_214534.1	WP_003912368.1		FHA domain-containing protein FhaA	fhaA	887067	Rv0020c	1584	527	
gene	tRNA	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	25644	25726	+					leuT	2700444	Rvnt03	83		
tRNA		GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	25644	25726	+				tRNA-Leu	leuT	2700444	Rvnt03	83		anticodon=CAG
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	25913	26881	-						887066	Rv0021c	969		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	25913	26881	-	NP_214535.1	WP_003899778.1		hypothetical protein		887066	Rv0021c	969	322	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	27023	27442	-					whiB5	887071	Rv0022c	420		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	27023	27442	-	NP_214536.1	WP_003400388.1		transcriptional regulator WhiB5	whiB5	887071	Rv0022c	420	139	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	27595	28365	+						887062	Rv0023	771		
